Date,User_Base_(Number_of_Users),Average_Time_Spent_(in_minutes),Content_Completion_Rate_(%),Student_Test_Score_Improvement_(%),Student_Satisfaction_(%),Revenue_Growth_(Year-over-Year_%),Funding_Round_Amount_(in_millions_USD),Market_Share_(%),Social_Media_Sentiment_Score,News_Article_Sentiment_Score,Number_of_Courses_Offered,Regional_Performance_Score,Focus_on_Adaptive_Learning_(Yes/No),Expert_Faculty_(Yes/No),Countries_of_Operation,Strategic_Partnerships_(Yes/No),Government_Initiatives_(Yes/No),Byju's_Future_Plans,Market_Size_(in_millions_USD)
08-04-2018,1425086.853,30.06146794,92.89150597,27.37648421,89.44936527,45.86945266,88.31390617,40.81454147,0.95007042,0.701161105,127.3356228,0.816360316, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Acquire competitor ,638.5663569
09-04-2018,1703566.009,25.7945808,81.14536099,22.87892797,90.72310967,39.68541307,72.81070959,37.01684842,0.893512037,0.665988535,117.8649882,0.866279896,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Interactive learning,583.3197559
10-04-2018,1512094.657,23.14747781,89.30258912,22.33508798,92.20414458,32.61094137,67.28424545,38.06609708,0.738306538,0.65201859,107.2156621,0.905339228, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE, Brazil ", Yes                          , Yes                         , Launch new app     ,534.55107
11-04-2018,1144437.753,29.73653636,90.83984486,24.61292327,93.85414204,45.93136778,110.4645638,33.85732955,1.016233992,0.713301385,143.633671,0.817032384, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ",No, Yes                         , Launch new feature,629.7496969
12-04-2018,1115681.049,19.80507636,92.40757878,33.18637885,94.51046845,35.6461845,47.84667875,38.94708115,0.889898914,0.871533733,141.271501,0.964608369, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Launch new app     ,576.7385592
13-04-2018,1106684.403,20.09599179,85.20693245,19.6795493,90.05397384,55.47171641,117.5279993,46.55640428,0.783458058,0.517155607,127.5033604,0.906669156, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ",No, Yes                         , Expand to Asia     ,648.7256256
14-04-2018,1458003.118,32.5144921,93.03835236,31.24392972,91.38113152,41.69846878,73.22546452,41.99276581,0.89650017,0.788485032,138.9001869,0.956063424,No,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Launch new app     ,572.8261019
15-04-2018,1329195.86,22.89965191,96.03469724,23.50296631,87.93147625,38.46576857,80.48833482,43.27650134,0.923850304,0.777187951,150.0071748,0.86439437,No, Yes                   ," India, USA, UK         ",No, Yes                         , Acquire smaller startup,711.5247916
16-04-2018,1287877.461,23.19559496,89.96881866,11.13022447,85.6778974,44.61857117,58.56193264,35.97692754,0.898317845,0.694301509,142.0965682,1.011151875,No, Yes                   ," India, USA, UK, Australia ",No, Yes                         ,Dynamic learning trials,548.1015041
17-04-2018,1277403.653,27.92365375,79.79220472,24.71658168,90.39969184,42.22597033,75.7940768,32.124292,1.023500901,0.762541056,87.32877223,0.955470155, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Launch new feature,631.1534373
18-04-2018,1373592.231,24.9792165,99.49525774,27.65332067,87.59436247,37.5019903,91.98829517,32.35325322,0.847537232,0.837717922,145.9672181,0.980534845,No, Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Acquire competitor ,563.4275049
19-04-2018,1349704.915,30.32559154,85.53972777,13.70322938,87.09082955,65.26654707,62.57843668,39.82893553,1.066275752,0.828703924,114.7628464,0.928045112,No, Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Launch AI tutor    ,540.9299149
20-04-2018,1122229.125,28.69542985,86.56808708,21.422504,92.07418506,51.06834107,97.46512958,41.03608009,0.900557699,0.649645422,118.2893332,0.83529976, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         ,Interactive learning,585.8803814
21-04-2018,1371225.941,27.72814279,96.18657291,22.97663439,88.4756945,45.32113094,84.21273468,35.9199846,0.883990649,0.927183523,106.8779208,0.839885745, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE, Brazil ",No, Yes                         ,Interactive learning,536.1714516
22-04-2018,1183632.745,27.92550211,99.31558944,9.820617835,92.10708094,33.33094668,59.77267154,36.54188671,0.862439846,0.860453955,101.9557971,0.989430664, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Dynamic learning trials,558.9613224
23-04-2018,1334347.762,29.62054486,92.24298292,20.83950946,86.02713319,46.86090051,117.5757868,37.69948035,0.894482451,0.721398752,129.8434662,1.018321276, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE, Brazil ", Yes                          , Yes                         , Launch new feature,587.123954
24-04-2018,1400131.125,21.23943396,90.32727273,31.89002358,93.82512203,31.95981207,108.1608423,33.67117012,0.656156376,0.91834976,150.5043382,0.874441036,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Expand to Asia     ,532.8579438
25-04-2018,1380462.823,22.8681314,89.97023009,21.99196613,94.019468,35.83984948,92.24581443,31.21445136,0.73208581,0.536030791,165.1792727,0.979728804, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                        , Expand to Africa   ,589.0135544
26-04-2018,1312169.037,26.36188546,94.50112238,11.2881596,91.65363096,40.82946434,90.36140943,38.03594504,0.943374969,0.739420073,126.9941754,0.935546853, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Interactive learning,628.4608399
27-04-2018,1418110.979,25.3692612,94.96341872,36.01994137,93.14534429,32.62455994,42.51940191,39.36773078,0.916777969,0.783929335,151.3379523,0.964554637, Yes                               ,No," India, USA, UK         ", Yes                          , Yes                         , Launch new app     ,576.5041372
28-04-2018,1135961.979,26.66032176,103.3405376,29.86790935,101.0694626,51.53990909,54.48671679,32.46229531,0.841729705,0.63526978,114.9642265,1.024243185, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Launch new feature,593.9914853
29-04-2018,1117059.965,26.42736708,90.99694458,-0.960795443,93.91552963,27.39261811,87.47688452,35.33351886,1.032697564,0.731349007,130.3053294,1.05626329,No,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Expand to Asia     ,577.1832571
30-04-2018,1303939.758,17.17120129,100.2166059,17.96420351,90.41971209,28.13648746,137.2428656,36.91298744,0.978429787,0.608024094,160.3190601,1.046388114, Yes                               , Yes                   ," India, USA             ", Yes                          , Yes                         ,Greedy gamification,586.7919185
01-05-2018,1401874.957,27.60855863,98.18790728,28.67951803,86.48226716,46.4377408,94.6598266,39.17449314,1.009475182,0.757078815,126.8309121,0.849128293,No, Yes                   ," India, USA, UK, Australia ",No, Yes                         ,Greedy gamification,620.3689872
02-05-2018,1388408.054,26.2763064,94.23312244,23.44131348,95.54394448,28.4992404,88.14051829,38.83666754,1.053680197,0.83421374,120.6599033,0.907196436, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Enter Middle East  ,544.3955357
03-05-2018,1302524.089,23.48737605,87.47797694,32.86203264,94.62839129,33.7717974,83.76331405,25.84419673,1.027786794,0.560119948,117.8247542,0.985673932, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                        , Expand to Africa   ,625.9663232
04-05-2018,1318903.068,30.00032984,92.78458498,39.34205375,92.55266909,34.59141279,73.98453742,35.91273062,0.851441131,0.590382941,101.8873656,0.926334109, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         ,Greedy gamification,549.7497711
05-05-2018,1522881.988,30.12397628,87.80982791,22.09112236,87.32144863,44.01418819,65.76715859,34.76222629,0.982358584,0.760123128,147.9801685,0.818897234, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Acquire smaller startup,629.1409408
06-05-2018,1273083.629,23.5629296,93.91227875,25.17385607,96.51532709,32.72524226,79.18520897,39.28711606,0.870492822,0.691013861,150.0731937,0.846843547,No,No," India, USA, UK         ", Yes                          , Yes                         ,Dynamic learning trials,719.0979284
07-05-2018,1520282.751,34.79624121,86.04945956,26.77618096,97.69218778,42.4328938,73.45218382,30.55997841,0.976234027,0.704259147,146.0405787,0.848193588, Yes                               ,No," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Launch new feature,594.644882
08-05-2018,1362408.572,31.55166408,98.70327683,18.01791759,91.30739173,39.06895114,81.96424282,34.89381916,0.960870313,0.730630223,100.8904524,0.913213455, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Dynamic learning trials,628.9813554
09-05-2018,1352228.34,22.63439198,85.20843569,25.3201802,87.77135193,19.5165387,70.94364949,36.14335959,0.993673972,0.798646517,125.9362369,0.848569777, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Acquire smaller startup,616.1868968
10-05-2018,1236637.58,32.50568422,87.4084577,28.938558,85.33629947,43.43414958,49.0536719,34.28008857,0.939126233,0.709563189,83.28894619,0.932267641, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ",No, Yes                         , Launch new app     ,535.1313448
11-05-2018,1416042.624,29.3584815,88.94367055,35.7033709,88.53168799,36.97809147,54.62951602,28.44520606,0.831897074,0.950818392,160.2739678,0.881870569, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE, Brazil ", Yes                          , Yes                         ,Interactive learning,579.5189726
12-05-2018,1238057.245,28.15298234,92.47314853,32.8635096,90.15104466,64.76496105,97.56855559,43.28476664,0.951291779,0.736718255,164.7302284,0.881538983, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No, Expand to Asia     ,595.9917768
13-05-2018,1215471.495,31.29500529,97.49663284,25.20318675,87.77336277,25.81922947,65.1610629,39.10775971,0.883482761,0.611895358,125.7482782,0.877110387, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE, Brazil ", Yes                          ,No, Acquire smaller startup,479.7446751
14-05-2018,1216830.045,26.66547773,98.77434265,21.58554249,92.19762408,46.65809054,64.22090051,35.85794964,0.907569304,0.572151349,139.2377691,0.874622827, Yes                               , Yes                   ," India, USA, UK         ", Yes                          , Yes                         , Enter Middle East  ,633.1945387
15-05-2018,1314773.463,31.0469086,94.1369345,26.53027569,98.57809585,43.37520146,67.47005857,39.9365066,0.927601062,0.627084785,128.2359571,0.837707155, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Dynamic learning trials,683.0933592
16-05-2018,1465126.43,23.82645936,87.24619762,35.96899062,97.18308167,41.64492013,83.60833825,44.19813194,0.832348251,0.73928401,139.3986954,0.930939594, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Enter Middle East  ,524.7005295
17-05-2018,1242516.667,28.54268951,97.77551823,14.01846569,86.41816828,53.86065534,58.29083703,38.42358446,1.00406429,0.611704049,149.6525336,0.810528036,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ",No, Yes                         , Acquire competitor ,649.6582979
18-05-2018,1522731.562,24.3431112,92.55747988,19.80426386,96.46314093,51.12376991,81.63403409,38.15351927,0.832957297,0.823090672,157.9542215,1.021426211, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Enter Middle East  ,549.9327614
19-05-2018,1338839.878,23.1956259,98.74989071,20.86263196,93.9262428,43.82222391,97.30862768,40.65026641,0.818289744,0.671087735,155.6567379,0.825493578, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         ,Greedy gamification,548.9135521
20-05-2018,1146737.562,28.449009,103.7630551,44.74573959,92.04732017,38.9212041,69.86004324,29.55007404,0.888355774,0.746037391,143.9740615,0.836394192, Yes                               ,No," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Launch new feature,635.350368
21-05-2018,1393340.997,23.03676444,84.17873854,33.4942188,98.84433764,37.70477569,100.0911047,33.91326385,1.048766176,0.760884648,87.08893232,0.916390166, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ",No, Yes                         , Expand to Europe   ,586.9119496
22-05-2018,1371991.345,17.79373288,84.21019288,37.55668527,97.19233943,52.12726165,112.2841583,34.26567292,0.94453793,0.980744948,160.4986698,0.853292943, Yes                               , Yes                   ," India, USA, UK         ", Yes                          , Yes                         , Acquire smaller startup,641.7296899
23-05-2018,1151859.998,25.46989137,92.08910403,10.49843294,92.93026759,37.31163194,83.30584598,27.83009212,1.007788665,0.715614245,154.2380508,0.967385774, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Acquire competitor ,613.0616269
24-05-2018,1115603.729,32.18361452,85.34803787,23.44383129,92.50769088,31.74885617,107.1098893,32.83371022,0.939750574,0.767626618,129.9046516,0.909296135, Yes                               , Yes                   ," India, USA, UK         ", Yes                          , Yes                         , Partner with schools,580.8041199
25-05-2018,1451135.511,23.59674375,90.8303098,34.5050473,87.8407092,26.0966046,80.56989406,39.11689681,1.033572539,0.741395891,112.3478722,0.934873055, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Launch new feature,571.3214765
26-05-2018,1306789.146,23.47069893,101.4591281,39.59369771,98.64763256,49.7239722,130.8105885,38.80815559,1.040438161,0.687329826,112.0888845,0.947483372,No,No," India, USA, UK, Australia ",No, Yes                        ,Greedy gamification,510.0947757
27-05-2018,1162258.719,28.23349823,90.14337946,22.43511257,94.9900097,35.73706861,81.64953124,33.45290503,0.849254453,0.566123161,141.0707651,0.916135995,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Partner with schools,583.0765376
28-05-2018,1312652.404,25.00049643,94.58222718,23.30511873,97.8474789,38.09748209,77.002291,46.99429252,0.949946898,0.795732972,131.1797903,0.925229883, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ",No, Yes                         , Partner with schools,549.3547931
29-05-2018,1148560.285,22.49815549,89.17978883,44.32529798,83.25379482,54.11667476,61.35437699,33.11353773,0.744569859,0.887599363,114.0725203,0.913363065,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Expand to Africa   ,551.6015681
30-05-2018,1274784.14,27.45011601,93.74632788,22.56105865,90.98794641,49.26421918,90.18628192,32.61749735,1.00660513,0.911809686,140.2902305,1.006641025, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Enter Middle East  ,596.7302214
31-05-2018,1285824.002,27.65354397,88.97887003,30.68693799,95.99884471,41.70813062,22.45526929,46.23908414,0.899904452,0.929365383,164.7240653,0.949457428, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE, Brazil ", Yes                          , Yes                         , Partner with schools,663.7070951
01-06-2018,1200928.089,26.84291133,99.6009101,25.28601091,89.60252707,48.89066702,73.22783943,39.04720588,0.887881491,0.766694977,81.94444472,0.851221619, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ",No,No, Launch new feature,633.8473934
02-06-2018,1143597.549,29.75751546,91.25256109,33.98159512,89.38246265,41.92047212,99.90849528,31.5093741,0.723388136,0.758629557,105.7865562,0.93326638,No, Yes                   ," India, USA, UK, Australia ",No, Yes                         ,Dynamic learning trials,505.5108502
03-06-2018,1344092.781,25.91915244,93.53534812,20.87264869,95.34307883,33.93489199,71.00299786,37.48894346,0.880281617,0.679724375,95.45421994,0.930098714, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No,Interactive learning,586.1501244
04-06-2018,1499258.533,24.22158938,77.86099282,12.44255576,101.3051024,52.37148928,103.6690918,39.56882414,0.972682022,0.769597244,174.3394018,0.924221394, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Launch new feature,636.5217463
05-06-2018,1364241.11,27.57769979,101.4554935,28.28818307,91.4314459,35.95397364,54.23541811,35.42870881,0.943781052,0.540035735,126.8361177,0.909684433, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          ,No, Expand to Europe   ,537.8641178
06-06-2018,1176392.411,33.30721464,95.03302768,21.27477743,92.86744138,18.01171248,72.64247567,30.93350474,0.926870124,0.918981769,130.199834,0.900017273, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Launch new feature,569.3587829
07-06-2018,1270844.078,25.23830741,88.05960697,22.22790509,88.16543671,48.67758466,68.83673693,34.68652215,0.950086886,0.865433429,135.560134,0.919015424, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Launch new app     ,593.9362369
08-06-2018,1228777.897,24.10503998,79.25452649,39.42586561,92.44460626,39.41920219,66.5266345,32.10203047,0.722454313,0.666239288,132.485777,0.902338228,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Launch new feature,630.1551854
09-06-2018,1430051.442,24.7068755,91.78941965,21.86535533,86.56458013,36.02943257,53.80903718,39.41823032,0.965367594,0.753794437,144.5739309,0.880215069, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Expand to Africa   ,621.7151789
10-06-2018,1475237.896,17.35632724,89.9506908,32.48446389,87.30307758,28.36484421,67.73153821,38.64518748,0.863677478,0.675766416,145.9723289,0.958598547, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Launch AI tutor    ,624.6080184
11-06-2018,1318913.4,35.66493242,86.30299381,22.03121224,90.38677708,48.44815841,69.34170585,38.68448087,0.761745466,0.672550705,96.79108109,0.899587216,No, Yes                   ," India, USA, UK, Australia ", Yes                          ,No, Acquire smaller startup,526.4708785
12-06-2018,1706021.192,27.78517409,85.63038165,23.13507888,95.52694584,51.63588237,134.2433668,41.40675652,0.854184864,0.481655082,110.6900417,0.811412251,No, Yes                   ," India, USA, UK         ", Yes                          , Yes                        , Expand to Asia     ,624.8286419
13-06-2018,1215565.374,25.9772939,88.52986737,24.22999257,90.50380338,40.68015465,77.13318586,34.97307007,0.771142111,0.869260894,138.2778102,0.947224499, Yes                               ,No," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Partner with schools,611.5891941
14-06-2018,1422310.226,27.91023529,86.60995864,24.21412923,90.83105892,42.12410916,101.5800372,36.74936502,0.893485757,0.62782087,159.7735683,0.907095976, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Interactive learning,644.8649121
15-06-2018,1370125.386,32.19445481,88.50775538,26.4652717,99.73876769,31.02245804,76.64787062,41.08297686,0.922062942,0.902853736,104.6096251,0.83586851, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Enter Middle East  ,628.7052058
16-06-2018,1355558.865,32.97909665,89.12417361,13.68103744,96.49663331,52.98243744,63.36526009,42.64621109,0.914436512,0.77395385,175.2950363,0.963608773, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Launch new feature,600.7330748
17-06-2018,1309735.681,29.36199911,81.33896273,35.92197504,87.74573618,22.86185462,66.97027773,33.09491221,0.892187197,0.834699932,194.4877535,0.895001538, Yes                               , Yes                   ," India, USA, UK, Australia ",No,No, Expand to Europe   ,652.8709026
18-06-2018,1334897.935,28.6189356,89.79348038,35.09298656,92.20792041,28.62244077,114.0483508,31.59510952,1.091062936,1.031786733,131.3462936,0.873140259,No, Yes                   ," India, USA, UK         ", Yes                          , Yes                         , Expand to Asia     ,619.5505801
19-06-2018,1459029.792,28.30276968,90.93323584,28.59825109,92.96339248,33.9295774,111.1193408,32.4988022,0.960115521,0.556091478,133.3567413,0.980829228, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         ,Dynamic learning trials,612.5813601
20-06-2018,1170306.23,19.32572836,88.29399957,23.59696537,98.64334343,49.00280924,98.72749945,38.9802872,0.933877392,0.505329453,95.4407673,0.91860387, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No, Expand to Europe   ,503.6449871
21-06-2018,1366401.074,25.78548717,91.33906405,29.31586129,88.99023983,31.65828512,111.0742239,40.02854902,1.018734497,0.751946557,179.7439851,0.965142508,No,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Enter Middle East  ,579.9560385
22-06-2018,1245499.11,29.07652055,90.56626313,15.33792338,93.48584448,52.52805521,78.17452092,30.99492391,0.752236233,0.824668962,144.9095244,0.947439335, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         ,Dynamic learning trials,546.1905183
23-06-2018,1308154.064,36.5798283,101.821495,29.28904292,92.27545611,63.22775097,44.25382768,36.243141,0.928010626,0.533787239,157.5971028,0.915790251, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         ,Interactive learning,554.8060809
24-06-2018,1448289.274,31.68171387,87.4525715,32.20823268,93.53773589,25.88289988,80.6611734,43.50853841,0.855427832,0.643040573,140.8631543,0.887996795,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE, Brazil ",No, Yes                         , Partner with schools,520.9415211
25-06-2018,1380138.057,24.41500933,80.90111174,3.988623019,98.2163612,44.65345979,94.60868813,35.19259553,0.961479939,0.645888679,159.5017266,0.863149249,No, Yes                   ," India, USA, UK, Australia, Singapore ",No, Yes                         , Launch new app     ,622.6638009
26-06-2018,1408396.202,31.83985642,91.85784572,24.57870219,94.86896311,52.23631905,65.39079854,31.44924826,0.884060272,0.865979215,88.69052837,0.880192302, Yes                               ,No," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Enter Middle East  ,547.8546875
27-06-2018,1307500.575,27.59597071,98.97179039,28.15805673,98.91775979,43.46350156,104.6686856,32.84414958,0.877990466,0.870912508,120.2002901,0.868908431,No,No," India, USA, UK, Australia ", Yes                          ,No,Dynamic learning trials,568.891555
28-06-2018,1383072.857,31.24897242,79.40047835,22.33543297,96.32447624,36.72310452,54.26826853,36.48312492,0.840564146,0.770919153,141.6080232,0.958075018, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Expand to Asia     ,616.4615749
29-06-2018,1531858.518,28.71661043,93.84312627,5.407807876,92.12828262,52.29979566,60.83557269,35.49298792,0.935088448,0.641523977,135.6163228,0.931977364, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Expand to Africa   ,566.8459886
30-06-2018,1136833.756,27.5799159,91.27449534,26.54322626,92.25646838,41.77186774,82.59683382,38.1671798,0.819896284,0.729855054,129.5621706,0.876470865, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Expand to Europe   ,611.328908
01-07-2018,1221665.56,32.0905602,86.20041738,19.349472,93.45177998,41.56310118,112.4605982,42.06592968,0.981065503,0.644742692,160.3631065,0.921160021, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Launch AI tutor    ,570.0807151
02-07-2018,982245.793,31.39445516,92.48938312,40.86090884,93.69087828,34.23373348,43.24904452,42.16771629,0.924065762,0.581180058,145.5141243,0.932066969,No, Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Launch AI tutor    ,632.4825072
03-07-2018,1254679.035,24.81317845,95.61618667,13.60981834,84.71694592,34.01784983,62.69140283,35.96396787,0.893028593,0.864504548,142.4679434,0.944702124, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Enter Middle East  ,612.4393025
04-07-2018,1024669.525,25.51969366,89.2507328,34.32538326,83.18482532,46.45442454,92.56638809,28.54708105,1.059211959,0.822780588,118.7986779,0.961896638, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Launch AI tutor    ,434.5302473
05-07-2018,1116397.125,21.87218151,91.14203249,39.4989191,89.8532015,21.00524452,92.88952251,41.33804507,0.970120874,0.713679848,121.2492147,0.936482095,No, Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Acquire competitor ,529.2831368
06-07-2018,1249032.591,29.59516936,89.68809065,24.12341425,87.06136369,30.43860043,81.05361932,40.8801498,0.892034,0.821602113,140.0638785,0.915950146,No, Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         ,Interactive learning,640.7978391
07-07-2018,1252087.106,28.05882761,96.48730954,30.98932625,97.53890304,42.13582411,55.4041615,35.43852916,1.144374792,0.557889272,157.9120229,1.0088004,No,No," India, USA, UK, Australia ", Yes                          ,No,Dynamic learning trials,640.1982059
08-07-2018,1380236.248,26.27349327,91.37551334,25.94345781,86.21312807,39.10428349,93.44157633,36.95259773,1.096108035,0.62059328,143.8461791,1.002056859, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Launch new feature,550.5206629
09-07-2018,1399828.223,23.82390405,94.43626563,24.1050607,89.3087778,24.94418578,73.83180313,34.2654546,0.932763412,0.889558407,125.0940433,0.983010325,No, Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Partner with schools,652.5607545
10-07-2018,1106065.646,33.55841213,81.75190599,43.92225378,92.12745641,25.48638546,75.53723697,44.75507181,0.712382239,0.803310977,128.4337928,0.942827361, Yes                               ,No," India, USA, UK         ", Yes                          , Yes                         , Expand to Europe   ,620.0120893
11-07-2018,1036615.057,17.87730264,90.8630514,21.30422655,85.57385588,34.41480137,121.9346581,36.00641042,0.758601906,0.822965235,120.9944456,0.880445832,No, Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Expand to Africa   ,613.4536314
12-07-2018,1267369.96,29.57171976,93.91137046,18.40412706,86.92859057,33.2572035,91.23704759,36.62638898,0.797659603,0.773988234,117.0626593,0.897223883,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ",No, Yes                         , Acquire smaller startup,511.6555415
13-07-2018,1132571.894,25.07386562,92.78683373,16.2849444,94.29829903,17.34282909,90.37816608,30.90754691,1.133594527,0.625056126,113.087273,0.868502322, Yes                               ,No," India, USA             ", Yes                          , Yes                         ,Dynamic learning trials,542.8322326
14-07-2018,859709.0867,36.28129323,86.87287259,26.35024105,84.03358126,41.26785775,102.7878547,43.89157523,0.851690089,0.847328607,109.3634616,0.947284824, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No, Launch new app     ,563.6704925
15-07-2018,1321560.482,30.43167719,88.90226868,27.74413213,84.29907715,52.86529175,65.09593658,31.27236539,0.72816457,0.767831541,132.6173104,1.014331448, Yes                               , Yes                   ," India, USA             ", Yes                          , Yes                         , Partner with schools,524.7290347
16-07-2018,1597171.78,19.48727215,89.05880272,5.361013842,94.38765783,33.61269267,85.46963307,38.32782966,0.934394791,0.668422903,140.1422288,0.944219661, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ",No, Yes                         , Expand to Europe   ,639.713985
17-07-2018,1563697.561,22.89571009,88.82429531,30.77219561,84.30024878,46.86755531,76.17922066,40.5134336,0.983270693,0.617956098,97.24413577,0.919976175, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         ,Interactive learning,514.1540789
18-07-2018,1368075.545,26.16411076,90.79964709,27.42027577,88.47814757,44.52055985,61.23285342,36.99760238,0.970069986,0.775468602,118.7398617,0.892457707, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          ,No, Launch new feature,604.3485049
